timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1762914849864,96,HTTP Request-0,301,Moved Permanently,Thread Group 1-23,text,true,,605,157,5,5,http://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,96,0,48
1762914849961,215,HTTP Request-1,200,OK,Thread Group 1-23,text,true,,637,157,5,5,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,215,0,88
1762914849764,429,HTTP Request,200,OK,Thread Group 1-22,text,true,,1242,314,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,95,0,47
1762914849764,95,HTTP Request-0,301,Moved Permanently,Thread Group 1-22,text,true,,605,157,4,4,http://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,95,0,47
1762914849860,333,HTTP Request-1,200,OK,Thread Group 1-22,text,true,,637,157,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,333,0,95
1762914849964,309,HTTP Request,200,OK,Thread Group 1-24,text,true,,1242,314,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,89,0,45
1762914849964,89,HTTP Request-0,301,Moved Permanently,Thread Group 1-24,text,true,,605,157,4,4,http://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,89,0,45
1762914850054,219,HTTP Request-1,200,OK,Thread Group 1-24,text,true,,637,157,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,219,0,97
1762914850064,304,HTTP Request,200,OK,Thread Group 1-25,text,true,,1242,314,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,91,0,46
1762914850064,92,HTTP Request-0,301,Moved Permanently,Thread Group 1-25,text,true,,605,157,4,4,http://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,91,0,46
1762914850156,212,HTTP Request-1,200,OK,Thread Group 1-25,text,true,,637,157,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,212,0,92
1762914850164,312,HTTP Request,200,OK,Thread Group 1-26,text,true,,1242,314,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,92,0,45
1762914850164,92,HTTP Request-0,301,Moved Permanently,Thread Group 1-26,text,true,,605,157,4,4,http://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,92,0,45
1762914850256,220,HTTP Request-1,200,OK,Thread Group 1-26,text,true,,637,157,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,220,0,96
1762914850263,315,HTTP Request,200,OK,Thread Group 1-27,text,true,,1242,314,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,95,0,47
1762914850263,95,HTTP Request-0,301,Moved Permanently,Thread Group 1-27,text,true,,605,157,4,4,http://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,95,0,47
1762914850359,219,HTTP Request-1,200,OK,Thread Group 1-27,text,true,,637,157,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,219,0,97
1762914850363,302,HTTP Request,200,OK,Thread Group 1-28,text,true,,1242,314,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,83,0,41
1762914850363,83,HTTP Request-0,301,Moved Permanently,Thread Group 1-28,text,true,,605,157,4,4,http://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,83,0,41
1762914850447,218,HTTP Request-1,200,OK,Thread Group 1-28,text,true,,637,157,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,218,0,98
1762914850464,309,HTTP Request,200,OK,Thread Group 1-29,text,true,,1242,314,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,93,0,46
1762914850464,93,HTTP Request-0,301,Moved Permanently,Thread Group 1-29,text,true,,605,157,4,4,http://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,93,0,46
1762914850557,216,HTTP Request-1,200,OK,Thread Group 1-29,text,true,,637,157,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,216,0,95
1762914850558,307,HTTP Request,200,OK,Thread Group 1-30,text,true,,1242,314,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,89,0,44
1762914850558,89,HTTP Request-0,301,Moved Permanently,Thread Group 1-30,text,true,,605,157,4,4,http://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,89,0,44
1762914850648,217,HTTP Request-1,200,OK,Thread Group 1-30,text,true,,637,157,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,217,0,93
1762914850664,323,HTTP Request,200,OK,Thread Group 1-31,text,true,,1242,314,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,90,0,45
1762914850664,90,HTTP Request-0,301,Moved Permanently,Thread Group 1-31,text,true,,605,157,4,4,http://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,90,0,45
1762914850755,232,HTTP Request-1,200,OK,Thread Group 1-31,text,true,,637,157,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,232,0,98
1762914850762,306,HTTP Request,200,OK,Thread Group 1-32,text,true,,1242,314,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,89,0,45
1762914850762,89,HTTP Request-0,301,Moved Permanently,Thread Group 1-32,text,true,,605,157,4,4,http://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,89,0,45
1762914850852,216,HTTP Request-1,200,OK,Thread Group 1-32,text,true,,637,157,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,216,0,92
1762914850857,309,HTTP Request,200,OK,Thread Group 1-33,text,true,,1242,314,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,88,0,44
1762914850857,88,HTTP Request-0,301,Moved Permanently,Thread Group 1-33,text,true,,605,157,4,4,http://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,88,0,44
1762914850945,221,HTTP Request-1,200,OK,Thread Group 1-33,text,true,,637,157,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,221,0,93
1762914850962,289,HTTP Request,200,OK,Thread Group 1-34,text,true,,1242,314,3,3,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,90,0,45
1762914850962,90,HTTP Request-0,301,Moved Permanently,Thread Group 1-34,text,true,,605,157,3,3,http://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,90,0,45
1762914851052,199,HTTP Request-1,200,OK,Thread Group 1-34,text,true,,637,157,3,3,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,199,0,84
1762914851062,323,HTTP Request,200,OK,Thread Group 1-35,text,true,,1242,314,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,84,0,42
1762914851062,84,HTTP Request-0,301,Moved Permanently,Thread Group 1-35,text,true,,605,157,4,4,http://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,84,0,42
1762914851146,239,HTTP Request-1,200,OK,Thread Group 1-35,text,true,,637,157,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,239,0,116
1762914851165,314,HTTP Request,200,OK,Thread Group 1-36,text,true,,1242,314,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,90,0,45
1762914851165,90,HTTP Request-0,301,Moved Permanently,Thread Group 1-36,text,true,,605,157,4,4,http://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,90,0,45
1762914851255,224,HTTP Request-1,200,OK,Thread Group 1-36,text,true,,637,157,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,224,0,99
1762914851259,341,HTTP Request,200,OK,Thread Group 1-37,text,true,,1242,314,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,83,0,42
1762914851259,83,HTTP Request-0,301,Moved Permanently,Thread Group 1-37,text,true,,605,157,4,4,http://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,83,0,42
1762914851342,258,HTTP Request-1,200,OK,Thread Group 1-37,text,true,,637,157,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,258,0,93
